CLOSING_PRICE,DATE
92.71,2014-01-01
93.77,2014-01-02
96.95,2014-01-03
97.31,2014-01-06
98.02,2014-01-07
98.5,2014-01-08
97.14,2014-01-09
97.25,2014-01-10
99.4,2014-01-13
100.84,2014-01-14
102,2014-01-15
101.85,2014-01-16
102.9,2014-01-17
101.25,2014-01-20
102.65,2014-01-21
105.25,2014-01-22
105.81,2014-01-23
108.57,2014-01-24
110.66,2014-01-27
111.16,2014-01-28
108.62,2014-01-29
108.65,2014-01-30
108.07,2014-01-31
109.89,2014-02-03
109.5,2014-02-04
109.97,2014-02-05
114.19,2014-02-06
113.85,2014-02-07
113.81,2014-02-10
114.08,2014-02-11
114.86,2014-02-12
116.7,2014-02-13
114.35,2014-02-14
114.75,2014-02-17
114.5,2014-02-18
115,2014-02-19
115.4,2014-02-20
114.34,2014-02-21
114.79,2014-02-24
115.35,2014-02-25
116.33,2014-02-26
114.2,2014-02-27
112.15,2014-02-28
114.43,2014-03-03
115.59,2014-03-04
114.13,2014-03-05
116.64,2014-03-06
121.4,2014-03-07
120.14,2014-03-08
120.4,2014-03-09
119.66,2014-03-12
121.5,2014-03-13
123.2,2014-03-14
120.25,2014-03-17
121.1,2014-03-18
121.34,2014-03-19
122.2,2014-03-20
123.89,2014-03-21
122.7,2014-03-24
122,2014-03-25
121.45,2014-03-26
121.9,2014-03-27
122.4,2014-03-28
123.5,2014-03-31
122.9,2014-04-01
120.96,2014-04-02
120.87,2014-04-03
121.5,2014-04-04
123.66,2014-04-07
125.6,2014-04-08
124.05,2014-04-09
124.7,2014-04-10
124.49,2014-04-11
122.14,2014-04-14
120.31,2014-04-15
118.05,2014-04-16
118.85,2014-04-17
117.4,2014-04-18
119.9,2014-04-21
114.25,2014-04-22
112.37,2014-04-23
110.5,2014-04-24
107.9,2014-04-25
108.72,2014-04-28
109.28,2014-04-29
108.15,2014-04-30
103,2014-05-01
105.55,2014-05-02
107.89,2014-05-05
108,2014-05-06
106.8,2014-05-07
106.3,2014-05-08
106.63,2014-05-09
103.91,2014-05-12
104.99,2014-05-13
107.38,2014-05-14
106.57,2014-05-15
108.07,2014-05-16
107.89,2014-05-19
102.89,2014-05-20
,
,
,
