CLOSING_PRICE,DATE
35.51,2014-01-01
36.57,2014-01-02
39.75,2014-01-03
40.11,2014-01-06
40.82,2014-01-07
41.3,2014-01-08
39.94,2014-01-09
40.05,2014-01-10
42.2,2014-01-13
43.64,2014-01-14
44.8,2014-01-15
44.65,2014-01-16
45.7,2014-01-17
44.05,2014-01-20
45.45,2014-01-21
48.05,2014-01-22
48.61,2014-01-23
51.37,2014-01-24
53.46,2014-01-27
53.96,2014-01-28
51.42,2014-01-29
51.45,2014-01-30
50.87,2014-01-31
52.69,2014-02-03
52.3,2014-02-04
52.77,2014-02-05
56.99,2014-02-06
56.65,2014-02-07
56.61,2014-02-10
56.88,2014-02-11
57.66,2014-02-12
59.5,2014-02-13
57.15,2014-02-14
57.55,2014-02-17
57.3,2014-02-18
57.8,2014-02-19
58.2,2014-02-20
57.14,2014-02-21
57.59,2014-02-24
58.15,2014-02-25
59.13,2014-02-26
57,2014-02-27
54.95,2014-02-28
57.23,2014-03-03
58.39,2014-03-04
56.93,2014-03-05
59.44,2014-03-06
64.2,2014-03-07
62.94,2014-03-10
63.2,2014-03-11
62.46,2014-03-12
64.3,2014-03-13
66,2014-03-14
63.05,2014-03-17
63.9,2014-03-18
64.14,2014-03-19
65,2014-03-20
66.69,2014-03-21
65.5,2014-03-24
64.8,2014-03-25
64.25,2014-03-26
64.7,2014-03-27
65.2,2014-03-28
66.3,2014-03-31
65.7,2014-04-01
63.76,2014-04-02
63.67,2014-04-03
64.3,2014-04-04
66.46,2014-04-07
68.4,2014-04-08
66.85,2014-04-09
67.5,2014-04-10
67.29,2014-04-11
64.94,2014-04-14
63.11,2014-04-15
60.85,2014-04-16
61.65,2014-04-17
60.2,2014-04-18
62.7,2014-04-21
57.05,2014-04-22
55.17,2014-04-23
53.3,2014-04-24
50.7,2014-04-25
51.52,2014-04-28
52.08,2014-04-29
50.95,2014-04-30
45.8,2014-05-01
48.35,2014-05-02
50.69,2014-05-05
50.8,2014-05-06
49.6,2014-05-07
49.1,2014-05-08
49.43,2014-05-09
46.71,2014-05-12
47.79,2014-05-13
50.18,2014-05-14
49.37,2014-05-15
50.87,2014-05-16
50.69,2014-05-19
45.69,2014-05-20
