CLOSING_PRICE,DATE
64.93,2014-01-01
65.94,2014-01-02
69.09,2014-01-03
69.45,2014-01-06
70.19,2014-01-07
70.64,2014-01-08
69.28,2014-01-09
69.39,2014-01-10
71.54,2014-01-13
72.98,2014-01-14
74.14,2014-01-15
73.99,2014-01-16
75.04,2014-01-17
73.58,2014-01-20
74.79,2014-01-21
77.39,2014-01-22
77.95,2014-01-23
80.71,2014-01-24
82.8,2014-01-27
83.49,2014-01-28
80.53,2014-01-29
80.86,2014-01-30
80.21,2014-01-31
82.03,2014-02-03
81.64,2014-02-04
82.18,2014-02-05
86.2,2014-02-06
85.99,2014-02-07
85.93,2014-02-10
86.37,2014-02-11
87,2014-02-12
88.84,2014-02-13
86.49,2014-02-14
86.89,2014-02-15
86.64,2014-02-18
87.14,2014-02-19
87.69,2014-02-20
86.48,2014-02-21
86.93,2014-02-24
87.56,2014-02-25
88.47,2014-02-26
86.34,2014-02-27
84.29,2014-02-28
86.57,2014-03-03
87.73,2014-03-04
86.27,2014-03-05
88.78,2014-03-06
93.54,2014-03-07
92.28,2014-03-10
92.54,2014-03-11
91.8,2014-03-12
93.64,2014-03-13
95.34,2014-03-14
92.87,2014-03-17
93.28,2014-03-18
93.48,2014-03-19
94.34,2014-03-20
96.03,2014-03-21
94.84,2014-03-24
94.14,2014-03-25
93.59,2014-03-26
94.04,2014-03-27
94.54,2014-03-28
95.64,2014-03-31
95.04,2014-04-01
93.1,2014-04-02
93.05,2014-04-03
93.64,2014-04-04
95.8,2014-04-05
97.74,2014-04-08
96.19,2014-04-09
96.84,2014-04-10
96.63,2014-04-11
94.28,2014-04-14
92.54,2014-04-15
90.91,2014-04-16
90.99,2014-04-17
89.54,2014-04-18
92.04,2014-04-21
86.47,2014-04-22
84.51,2014-04-23
82.64,2014-04-24
80.04,2014-04-25
80.86,2014-04-28
81.24,2014-04-29
80.29,2014-04-30
75.14,2014-05-01
77.69,2014-05-02
80.03,2014-05-05
80.14,2014-05-06
78.94,2014-05-07
78.31,2014-05-08
78.77,2014-05-09
76.05,2014-05-12
77.13,2014-05-13
79.27,2014-05-14
78.71,2014-05-15
80.12,2014-05-16
80.03,2014-05-19
75.03,2014-05-20
