CLOSING_PRICE,DATE
82.74,2014-01-01
83.91,2014-01-02
87.02,2014-01-03
87.38,2014-01-06
88.12,2014-01-07
88.76,2014-01-08
87.19,2014-01-09
87.32,2014-01-10
89.47,2014-01-13
90.91,2014-01-14
92.07,2014-01-15
91.92,2014-01-16
92.97,2014-01-17
91.49,2014-01-20
92.78,2014-01-21
95.27,2014-01-22
95.77,2014-01-23
98.45,2014-01-24
100.73,2014-01-27
101.42,2014-01-28
98.42,2014-01-29
98.79,2014-01-30
98.14,2014-01-31
99.96,2014-02-03
99.57,2014-02-04
100.03,2014-02-05
104.08,2014-02-06
103.92,2014-02-07
103.86,2014-02-10
104.3,2014-02-11
104.93,2014-02-12
106.77,2014-02-13
104.42,2014-02-14
104.82,2014-02-17
104.57,2014-02-18
105.07,2014-02-19
105.62,2014-02-20
104.41,2014-02-21
104.86,2014-02-24
105.21,2014-02-25
106.4,2014-02-26
104.27,2014-02-27
102.19,2014-02-28
104.5,2014-03-03
105.66,2014-03-04
104.2,2014-03-05
106.71,2014-03-06
111.47,2014-03-07
110.21,2014-03-10
110.47,2014-03-11
109.73,2014-03-12
111.57,2014-03-13
113.27,2014-03-14
110.86,2014-03-17
111.21,2014-03-18
111.41,2014-03-19
112.27,2014-03-20
113.72,2014-03-21
112.77,2014-03-24
112.07,2014-03-25
111.49,2014-03-26
111.97,2014-03-27
112.47,2014-03-28
113.61,2014-03-31
112.97,2014-04-01
111.03,2014-04-02
110.98,2014-04-03
111.57,2014-04-04
113.73,2014-04-07
115.72,2014-04-08
114.12,2014-04-09
114.77,2014-04-10
114.56,2014-04-11
112.21,2014-04-14
110.47,2014-04-15
108.84,2014-04-16
108.92,2014-04-17
107.47,2014-04-18
109.97,2014-04-21
104.4,2014-04-22
102.44,2014-04-23
100.57,2014-04-24
97.92,2014-04-25
98.79,2014-04-28
99.17,2014-04-29
98.22,2014-04-30
93.07,2014-05-01
95.62,2014-05-02
97.96,2014-05-05
98.07,2014-05-06
96.87,2014-05-07
96.29,2014-05-08
96.7,2014-05-09
93.82,2014-05-12
95.06,2014-05-13
97.2,2014-05-14
96.64,2014-05-15
98.05,2014-05-16
97.67,2014-05-19
93.54,2014-05-20
